current_company_name_clean,count
Ben-Gurion University of the Negev,17
Intel Corporation,16
Amdocs,10
Wave Adv,6
Apple,6
Self-employed,6
Applied Materials,6
"Vishay Intertechnology, Inc.",6
Western Digital,5
Flex,5
HP,4
Galil Group,4
Weizmann Institute of Science,4
IAI - Israel Aerospace Industries,4
ZutaCore,3
Bet Shemesh Engines Ltd.,3
"IEC - Israel Electric Corporation חברת החשמל לישראל בע""מ",3
Israel Defense Forces,3
Elbit Systems Ltd,3
Padagis LLC,3
Geo-Teva Environmental Consulting LTD,3
Clalit Health Services,3
Nestlé,3
Sandisk,3
ELTA Systems Ltd,3
Unilever,2
Padagis Israel,2
Helen Doron Educational Group,2
AM Projects,2
KLA,2
"SodaStream International, Ltd.",2
DRS RADA Technologies,2
Perrigo Company plc,2
Electra,2
Osem Nestle אסם נסטלה,2
Barzilai Medical Center,2
Cambium Applicable Innovation,2
Amazon Web Services (AWS),2
האקריו - HackerU,2
Bank Hapoalim בנק הפועלים,2
Ashkelon Academic College,2
JDC (The Joint),2
Microsoft,2
Maccabi Health care Services,2
ICL Group,2
Baran Group,2
Pach Taas (Ashkelon) Ltd.,2
TopGum Industries,2
KAN - Israeli Public Broadcasting Corporation,2
Nova Ltd.,2
Inter Electric,2
"Sheba Medical Center, Tel Hashomer",2
Roshtov Software Industries Ltd.,2
Meptagon Group,2
Self employed,2
NVIDIA,2
Matrix DnA,2
Ministry of Aliyah and Integration משרד העלייה והקליטה,2
Technion - Israel Institute of Technology,2
Aeronautics Group,2
Freelance,2
Applied Materials - Israel,2
Sapir College,2
SCE - Shamoon College of Engineering,2
Tnuva,2
indpendent,2
Baran Advanced Technologies,1
Resonance-the secrets of magnetizing,1
Clalit medic engineering,1
Lotem - IDF Digital & Data unit,1
Mindflow-Recruit,1
"נמורה לבנייה בע""מ",1
Maccabi Health care Services-south dist.,1
Elbit Security Systems Ltd,1
Har-Gal,1
Tenova,1
Ministry of Foreign Affairs of Israel,1
Mandel Leadership Institute,1
The Palace Group,1
Samson Assuta Ashdod Public Hospital,1
Google,1
Ami metom,1
Siemens Mobility,1
Deep marine civil engineering services LTD,1
"Association for Children at Risk, Israel",1
Developers.Institute,1
Lobster invest LTD,1
CHEMO AHARON LTD.,1
Samsung Israel R&D Center - SIRC,1
Dead Sea River and Drainage Authority,1
NextSilicon,1
Flextronics,1
Lam Research,1
Shomera Insurance,1
Rafael Advanced Defense Systems,1
Water Authority-South,1
Mitnan - Orna's Handmade Paper,1
Combe Group,1
בנג'ו ייעוץ ופיתוח עסקי,1
Feliqs kaplan,1
Evgeny Tartakovsky,1
GIV Solutions,1
Europe Asia Pipeline Co.,1
Shift4 Europe (formerly Finaro),1
Mobileye,1
ICL Asia,1
Energetico Engineers,1
Yaniv Bason Development,1
Arad municipalty,1
Negev Ring Theater,1
Payoneer,1
NGSoft Ltd.,1
Israeli Air Force,1
Y. Dahan Metals Ltd.,1
Ichilov Hospital,1
Ashot Ashkelon Industries Ltd,1
Mitar Local Council,1
United Hatzalah of Israel,1
"WD, a Western Digital Company",1
QualityLine,1
Partner,1
Umi,1
Carrar,1
shatit,1
comblack,1
Kulna,1
Artishop ADV,1
Marta Zarotski Interior Designer,1
Mevaker hamedina,1
DR. ABU JAFAR,1
The Israeli Ministry of Education משרד החינוך,1
Adi negev,1
Shoshany Architectes,1
INDUSTRY-TEAM,1
merav company,1
Playtika,1
Robotican,1
YuviTal,1
Eilat Port Company Ltd.,1
Brevel,1
hachavaya hativ`it,1
The Ramat Negev International Center For Agriculture training,1
Dror Leadership High School,1
סייג-מזרחי מהנדסי בניין,1
MalamTeam,1
Optibus,1
SciPlay,1
Sheba Tel HaShomer City of Health,1
Cadence Design Systems,1
GLOBUS Worldwide Logistics,1
Linesight,1
Florma LTD,1
Baran Israel,1
Fishers Laundromat,1
FATTEL,1
Complex Photonics Lab,1
Ayalon Insurance Company Ltd,1
Liminal Health,1
Red Access,1
OPKO Biologics Ltd.,1
Overwolf,1
Tokyo Electron,1
Hadassah University Medical Center,1
Rotem Industries Ltd (Corporation),1
GIL,1
Champion Motors,1
Extreme Simulations,1
Micron Technology,1
Mashav Ardan projects,1
Israel Nature and Parks Authority,1
orthodoc,1
Maof HR,1
Elbatech Technologies,1
Beit Rakefet,1
M.S Ashdod,1
LSports,1
shlomit - national service,1
Moonshot Marketing LTD,1
Forty two || ארבעים ושתיים,1
ASPECT LEARNING CONSULTANCY LTD,1
Maccabi Health Services,1
Qualcomm,1
"שע""ם",1
Darca Schools,1
"Dalia Energy,( Kiddod Engineering,Eskol)",1
architecture,1
PureSight,1
Buildots,1
