residence_city,count
Omer,14
Ofakim,13
Lehavim,13
Yerocham,12
Meitar,9
Rehovot,8
Sderot,7
Netivot,7
Petah Tikva,7
Kiryat Gat,7
Dimona,7
Ramat Gan,6
Givatayim,6
Midreshet Ben-Gurion,6
Ashdod,6
Rahat,6
Ashkelon,6
Acre,4
Arad,4
Rishon LeZion,4
Hod HaSharon,4
Haifa,4
Netanya,4
Herzliya,3
Yavne,3
Ramat HaSharon,3
Nes Ziona,2
Gedera,2
Mevaseret Zion,2
Hof Ashkelon,2
Lod,1
Ramla,1
Ramat Negev,1
Mizpe Ramon,1
Kiryat Malachi,1
Karmiel,1
Holon,1
Mitzpe Ramon,1
Chicago,1
Oxford,1
Fort Washington,1
Ness Ziona,1
Sde Boker,1
Kiryat Ono,1
Rosh HaAyin,1
Eilat,1
Cambridge,1
Yeruham,1
Bat Yam,1
