residence_panel,industry_bucket,industry_segment,employer,education,n
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,unknown,362
Lives in BS,unknown,unknown,ICL Group,unknown,73
Lives in BS,healthcare,healthcare_provider,Soroka Medical Center,unknown,69
Lives in BS,public_sector,defense_aerospace,Israel Defense Forces,unknown,66
Lives in BS,high_tech,semiconductors_hardware,Intel Corporation,unknown,63
Lives in BS,high_tech,semiconductors_hardware,NVIDIA,unknown,47
Lives in BS,public_sector,academic,CBG - Cyber@Ben-Gurion University,unknown,30
Lives in BS,self_employed,other,Self-employed,unknown,28
Lives in BS,high_tech,software_it_services,Apple,unknown,25
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,stem,21
Lives in BS,healthcare,healthcare_provider,Clalit Health Services,unknown,20
Lives in BS,high_tech,defense_aerospace,IAI - Israel Aerospace Industries,unknown,20
Lives in BS,high_tech,semiconductors_hardware,Applied Materials,unknown,18
Lives in BS,self_employed,other,Freelance,unknown,18
Lives in BS,public_sector,defense_aerospace,Israeli Air Force,unknown,17
Lives in BS,unknown,unknown,ADAMA Ltd.,unknown,16
Lives in BS,high_tech,defense_aerospace,ELTA Systems Ltd,unknown,14
Lives in BS,high_tech,software_it_services,Wix,unknown,14
Lives in BS,high_tech,software_it_services,Microsoft,unknown,13
Lives in BS,high_tech,software_it_services,Amdocs,unknown,12
Lives in BS,high_tech,other_high_tech,Dell Technologies,unknown,12
Lives in BS,high_tech,other_high_tech,ICL Group,unknown,12
Lives in BS,unknown,unknown,Israeli Military Intelligence,unknown,12
Lives in BS,high_tech,defense_aerospace,Rafael Advanced Defense Systems,unknown,11
Lives in BS,high_tech,semiconductors_hardware,"Vishay Intertechnology, Inc.",unknown,11
Lives in BS,unknown,unknown,האגודה הסטודנטיאלית אוניברסיטת בן גוריון,unknown,11
Lives in BS,unknown,unknown,BGRacing,unknown,10
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,biology,10
Lives in BS,unknown,unknown,Cyber Education Center,unknown,10
Lives in BS,high_tech,defense_aerospace,Elbit Systems,unknown,10
Lives in BS,high_tech,semiconductors_hardware,Applied Materials - Israel,unknown,9
Lives in BS,unknown,unknown,Nitzanim Program,unknown,9
