,bgu_highest_degree_level,bgu_education_bucket,count,n_total,n_known,known_pct
0,doctoral,medical,227,55547,5544,10.0
1,doctoral,non_stem,70,55547,5544,10.0
2,doctoral,stem,256,55547,5544,10.0
3,doctoral,unspecified,239,55547,5544,10.0
4,graduate,medical,25,55547,5544,10.0
5,graduate,non_stem,1004,55547,5544,10.0
6,graduate,stem,722,55547,5544,10.0
7,graduate,unspecified,980,55547,5544,10.0
8,professional,medical,18,55547,5544,10.0
9,professional,unspecified,14,55547,5544,10.0
10,undergrad,medical,51,55547,5544,10.0
11,undergrad,non_stem,957,55547,5544,10.0
12,undergrad,stem,2214,55547,5544,10.0
13,undergrad,unspecified,1700,55547,5544,10.0
14,unspecified,medical,52,55547,5544,10.0
15,unspecified,non_stem,345,55547,5544,10.0
16,unspecified,stem,731,55547,5544,10.0
17,unspecified,unspecified,45942,55547,5544,10.0
