current_company_name_clean,count
Ben-Gurion University of the Negev,468
Soroka Medical Center,129
ICL Group,51
SCE - Shamoon College of Engineering,34
Self-employed,26
Clalit Health Services,24
CBG - Cyber@Ben-Gurion University,23
Dell Technologies,19
ADAMA Ltd.,17
"Vishay Intertechnology, Inc.",15
Beer Sheva Municipality,15
MDClone,14
NVIDIA,14
Israel Defense Forces,12
AudioCodes,11
Teva Pharmaceuticals,10
Bezeq On Line,10
The Technological College of Beer-Sheva,10
RAVAL ACS LTD,9
Lycored,9
BGRacing,8
Dell EMC,8
Nitzanim Program,8
חברת כיוונים - החברה לתרבות הפנאי באר שבע,8
Self Employed,8
"Kaye Academic College of Education | המכללה האקדמית לחינוך ע""ש קיי",8
Raval a.c.s,8
Altera Digital Health,7
Medical School for International Health at Ben Gurion University - MSIH,7
Assuta Medical Centers,7
Maccabi Health Services,7
Ness Technologies | נס טכנולוגיות,7
Kaye Academic College of Education,7
Wix,7
Sigmabit,7
Siraj Technologies,6
Ribbon Communications,6
Ministry of Education,6
Weirdoz,6
Eretz-Ir NGO,6
KPMG Israel,6
Morphisec,6
RAD,6
CyberArk,6
Oron Group Investments and Holdings Ltd,5
Be'er Sheva municipality,5
Super-Pharm,5
2bPrecise,5
"IEC - Israel Electric Corporation חברת החשמל לישראל בע""מ",5
Israel National Cyber Directorate - מערך הסייבר הלאומי,5
HOT,5
Maccabi Health care Services,5
Rafael Advanced Defense Systems,5
The Israeli Ministry of Education משרד החינוך,4
Raval Israel,4
Sami Shamoon College of Engineering,4
Emalogic Software,4
Dalet Digital Media Systems,4
Self-Employed,4
"ANCAN - המרכז הלאומי ע""ש עזריאלי לחקר אוטיזם ונוירו-התפתחות",4
CaPow,4
ICL Industrial Products,4
Ministry of Education (Israel),4
Freelance,4
Alstom,4
Elbit Systems Ltd,4
DRS RADA Technologies,4
OR Movement תנועת אור,4
Wavelength Pharmaceuticals,4
Microsoft,4
Cyber Education Center,4
kivunim,4
"SodaStream International, Ltd.",4
Amppera Ltd.,3
Babcom Centers,3
Perach - Tutorial Project,3
AJEEC-NISPED,3
OMC,3
Wix.com,3
האגודה הסטודנטיאלית אוניברסיטת בן גוריון,3
Oracle,3
BRIUTA-CARE,3
Basmach - IDF School of Computer Science,3
Allscripts dbMotion – Population Health Management Solutions,3
BELECTRIC Israel,3
Menora Mivtachim Group,3
National Insurance Institute of Israel (המוסד לביטוח לאומי),3
Intel Corporation,3
IBM,3
Leidos,3
Mizrahi-Tefahot Bank,3
Baran Group,3
BGN Technologies,3
NeuroBrave,3
Start Up Beer Sheva,3
ReGo Marketing,3
Maslan,3
MEKOROT®,3
Self employed,3
Matrix,3
